county,state,population_2024,age_under5,age_under18,age_65andover,race_white,race_black,race_americanindianoralaskanative,race_asian,race_nativehawaiianorpacificislander,race_hispanicorlatino,owneroccupied_units,medianval_ownerunits,pper_household,language_otherenglish,education_hsorhigher (25+),education_bachelorsorhigher (25+),without_insuranceunder65,income_household (2024 dollars),income_percapita (2024 dollars),population_density (square mile 2020)
caroline county,virginia,"33,477",5.4,22.6,17.6,66.9,26.4,1,1.2,0.4,9,82.3,307700,2.6,7.4,89.5,21.8,7.8,87407,40262,58.6
campbell county,virginia,"55,342",4,18.8,22.3,80.5,15.4,0.4,1.2,0.1,3.8,74.9,211600,2.45,4.7,90.1,26.1,7.6,66165,34966,110.7
buena vista city,virginia,"6,581",4.9,22,18.8,84.7,2,1.3,1,0.3,0.2,56.5,156200,2.38,1.1,87.9,23.3,5.3,57833,25609,1031.5
buckingham county,virginia,"17,115",3.8,17.4,21.6,64.7,32,0.5,0.5,0,2.8,77.3,173400,2.36,4.7,86,14.5,9.8,60828,30121,29.0
buchanan county,virginia,"18,632",4.3,17.1,25.1,93.7,4.7,0.2,0.5,0,1.3,83.1,94900,2.41,2.9,78.6,11.5,10.1,42886,23508,40.5
brunswick county,virginia,"15,750",4,15.7,23.5,44,52.6,0.5,1.1,0.1,3.2,74.4,142700,2.12,4.2,82.4,16.6,10.3,53084,29934,28.0
bristol city,virginia,"16,316",4.7,19.6,23.7,85.1,5.8,0,0.5,0.1,2.8,63.6,184100,2.29,3.6,90.3,24.8,14.4,50404,31284,1337.8
botetourt county,virginia,"34,129",4,18.1,25.4,93.4,3.4,0.4,1.1,0,2.7,85.5,289200,2.54,2.2,94.3,28.5,5.7,81213,41217,62.1
bland county,virginia,"6,186",3.3,14,25.9,93.8,4.2,0.2,0.6,0,1.4,86.5,152100,2.27,1.6,92.4,18.4,5.7,61216,30833,17.5
bedford county,virginia,"82,182",4.4,19.2,24.6,88.7,7.2,0.4,1.6,0,3,84.7,297400,2.43,3.4,92.9,33.7,7.9,78937,42461,104.5
bath county,virginia,"4,071",5.5,17,30.5,93.6,3.7,0.5,0.5,0,2.6,71.3,206700,2.16,4.2,84,16.7,6.4,56184,38177,8.0
augusta county,virginia,"78,622",3.6,17.6,23.7,91.6,5.2,0.3,0.8,0,4.5,80.2,306100,2.42,4.4,91.9,25.1,7.2,82049,40342,80.1
arlington county,virginia,"239,807",4.6,17.7,12.5,72.4,10.7,0.8,11.9,0.2,16.3,41.3,895000,2.08,29.4,95.2,77.1,4.6,142114,90786,9179.6
appomattox county,virginia,"16,957",5.7,21.9,21.8,79.3,17.4,0.5,0.4,0.1,2.7,75.8,207600,2.49,1,92.5,19.2,8.7,62853,32522,48.2
amherst county,virginia,"31,650",5.1,19.7,23.2,76.7,18.6,1,0.6,0,3.2,80.8,212400,2.4,2.7,89.7,24.7,7.5,68724,35580,66.1
amelia county,virginia,"13,716",5.6,20.6,22.2,77.3,19,0.6,0.7,0.1,4.4,82.5,282400,2.46,3,86.5,18.6,9.8,76717,35492,37.3
alleghany county,virginia,"14,632",3.3,16.9,27.4,92.1,4.7,0.4,0.5,0.1,1.8,82.3,125800,2.27,1.5,89.6,14.6,7.5,56188,33863,34.1
alexandria city,virginia,"159,102",6.3,17.8,13.7,65.1,22.9,0.8,6.9,0.3,18.6,42.1,735100,2.04,31.1,93,66.2,7.9,119681,79474,10677.4
albemarle county,virginia,"117,313",4.7,19.1,21.4,80.6,9.5,0.5,6.3,0.1,7.9,65.9,495400,2.33,14.4,94.2,61.1,7,104392,59653,156.0
accomack county,virginia,"33,411",4.9,19.8,27.2,68.9,27,1.1,1,0.2,11.7,71.4,204300,2.22,13.8,83.6,21.7,11.8,58993,34132,74.4
