county,state,population_2024,age_under5,age_under18,age_65andover,race_white,race_black,race_americanindianoralaskanative,race_asian,race_nativehawaiianorpacificislander,race_hispanicorlatino,owneroccupied_units,medianval_ownerunits,pper_household,language_otherenglish,education_hsorhigher (25+),education_bachelorsorhigher (25+),without_insuranceunder65,income_household (2024 dollars),income_percapita (2024 dollars),population_density (square mile 2020)
clarke county,mississippi,"15,155",5.8,21.5,23.4,63.4,34.8,0.5,0.3,0,1.2,82.3,118100,2.55,1.9,88.7,17.5,12,46108,27462,22.6
claiborne county,mississippi,"8,122",6.1,22.9,19.8,12.4,85.3,0.3,0.8,0,1.6,76.5,82700,2.5,1,80.8,18.1,12.1,31897,19888,18.7
choctaw county,mississippi,"8,091",5.6,21.6,23.7,68.9,28.7,0.3,0.5,0,2.1,79.4,117200,2.28,1.5,86.8,20.1,11.3,50919,26576,19.7
chickasaw county,mississippi,"16,774",6.8,25,18.9,52.6,44.6,0.4,0.5,0.1,4.2,70.3,109800,2.47,1.9,80.5,12,15.5,43586,23189,34.1
carroll county,mississippi,"9,378",3.8,16.5,26.2,64.4,33.6,0.2,0.3,0,2,83.7,109600,2.17,1.2,83.4,21.2,14.9,59327,34198,15.9
calhoun county,mississippi,"12,754",6.2,21.8,21.8,69.2,28.4,0.4,0.2,0,7,72,90300,2.25,4,78,12.1,16,43125,25415,22.6
bolivar county,mississippi,"28,395",6.3,24.6,18.1,33.6,64.2,0.2,0.9,0.1,2.8,62.6,130000,2.35,3,84.9,28,12.3,39585,25454,35.4
benton county,mississippi,"7,566",5.5,20.7,21.4,62.8,34.6,0.6,0.3,0,2.9,86,105100,2.44,5.9,81.6,12.8,14.9,46016,25190,18.8
attala county,mississippi,"17,222",6.1,25,20,53.3,44.6,0.4,0.5,0,2.3,75.3,104600,2.59,1.2,88.2,19.8,11.8,51639,31953,24.3
amite county,mississippi,"12,451",4.9,19.9,27.4,59.7,38.4,0.5,0.3,0,1.5,82.4,100800,2.13,0.7,86.8,11.2,14,37222,24724,17.4
alcorn county,mississippi,"34,228",5.8,22,19.6,84.5,12.7,0.5,0.7,0.1,4,67.8,142100,2.32,3.7,85,18.6,12.6,51260,28486,86.8
adams county,mississippi,"28,674",4.9,19.4,22.7,39.4,57.7,0.9,0.6,0,3.5,68.1,108700,2.36,6.5,85.4,20.6,14.3,43644,27252,63.9
aitkin county,minnesota,16335,3.5,15.1,35.5,94.7,0.7,2.3,0.4,0.1,1.6,85.3,235100,2.3,1.5,93.6,19,6.7,59498,35185,8.6
anoka county,minnesota,376840,5.7,23.2,16.5,78.6,10.2,0.9,6.8,0.1,6.3,80,325800,2.7,13.7,94.2,31.7,4.7,98764,44418,862.4
becker county,minnesota,35444,5.1,22.5,24,87.4,0.8,7.4,0.7,0.1,2.3,77.8,266900,2.4,3.1,93.3,27.5,6.2,71117,40834,26.8
beltrami county,minnesota,46762,5.7,24,18.4,72.6,0.9,21.7,0.9,0.1,2.7,69.5,222300,2.5,4.8,92.8,32.3,7.4,67257,34429,18.5
benton county,minnesota,41881,5.9,24.5,14.9,89.2,5.9,0.8,1.4,0.1,4,67.9,247100,2.5,5.1,92.3,24.5,5.7,71480,36935,101.3
big stone county,minnesota,5067,6,22.2,27.4,96,0.9,0.9,0.5,0.2,3.1,79.4,135700,2.3,3.6,93.3,21.3,4.6,65475,36923,10.3
blue earth county,minnesota,70700,4.9,19.3,15.8,88.2,5.9,0.5,2.8,0.1,5.1,61.8,252800,2.4,7.9,95,34.5,6.5,72623,36299,92.4
brown county,minnesota,25710,5.3,21.9,23.1,96.8,0.9,0.4,0.8,0,5.8,79.4,181700,2.3,4.9,92.9,24.2,5.3,68690,36580,42.4
carlton county,minnesota,36745,4.9,20.9,19.3,88.5,2,5.7,0.8,0,2.2,79.4,232000,2.4,3.3,93.5,25.5,5,80042,37608,42.0
carver county,minnesota,112628,5.8,24.2,15.9,90.7,2.6,0.4,4.1,0.1,5.4,81.7,426900,2.7,7.9,96.3,50.5,3.2,123144,58254,302.0
cass county,minnesota,31442,4.3,19.3,28.5,84.9,0.5,11.3,0.5,0.1,2.1,84.9,262300,2.4,3.5,94.4,25.4,7.3,64937,36470,14.9
chippewa county,minnesota,12299,6.8,25,22.1,90.6,1.2,2,1.7,2.2,12,71.4,149000,2.3,9,90.1,19.6,7.2,69192,35205,21.7
chisago county,minnesota,59105,5.3,21.8,18.5,93,1.7,0.9,2.6,0,3,85.6,326600,2.6,3.7,95.6,24,4.1,98260,43265,136.5
clay county,minnesota,66848,5.5,24,14.5,87.1,6.2,2.2,1.5,0.1,5.2,66.6,256000,2.4,7.7,95,39,4.7,77664,38791,62.5
clearwater county,minnesota,8630,5.7,24.4,22.1,85.1,0.7,9.5,0.5,0,1.1,81.1,177100,2.6,6.3,88.5,18.3,7.6,64934,32682,8.5
cook county,minnesota,5571,3.3,14.4,32.6,84.7,1.9,8.8,1.1,0.1,3.8,79.6,294000,2.1,4.9,97.3,45.6,5.3,71643,45390,3.9
cottonwood county,minnesota,11338,6.4,25.5,23.8,88.5,2.3,1.1,4.6,1,12.9,76.1,154000,2.4,9.4,92.4,22.9,7.1,68239,34105,18.0
crow wing county,minnesota,68642,4.7,19.8,25.7,95.3,0.9,1.1,0.6,0,1.8,77.4,274400,2.3,2,94.6,28.6,6.1,71343,40308,66.2
dakota county,minnesota,453156,5.7,23.5,16.9,79.9,9.9,0.8,5.9,0.1,9.1,75.4,362100,2.6,13.2,95.5,44.6,4.4,105212,50901,782.0
dodge county,minnesota,21242,6.1,24.3,17.1,95.2,1.2,0.6,0.9,0,5.7,87.7,267500,2.6,6,95,29.7,4.6,92943,43903,47.5
douglas county,minnesota,39933,5.2,21.1,25.5,96.6,0.8,0.5,0.7,0.1,2.5,76.4,291700,2.2,2.2,96,29,5.4,77264,43543,61.2
faribault county,minnesota,13886,4.6,21.6,24.7,95.6,1.3,0.9,0.5,0,8.4,78,120200,2.2,5.4,92,21.6,6.7,64391,36782,19.5
fillmore county,minnesota,21502,5.6,24,22.8,96.9,0.7,0.3,0.7,0,2.2,82.4,204000,2.4,5.2,92.8,23.7,8.8,75225,37134,24.6
freeborn county,minnesota,30314,5,21.2,24.7,91.3,1.8,0.7,4.1,0.3,11.2,79.3,164900,2.3,8.4,89.9,18.1,7.6,69012,38696,43.7
goodhue county,minnesota,47982,5.3,21.4,22,94,1.6,1.4,0.9,0.1,4.5,78,269400,2.4,3.7,93.7,27.9,5.7,82749,42254,62.9
grant county,minnesota,6109,6,23.3,23.8,95.6,1,0.7,0.4,0.1,3,79,178600,2.4,3.1,94.3,19.1,6,72957,38893,11.1
hennepin county,minnesota,1273334,5.7,21.2,16.6,72.1,15.1,1.2,7.9,0.1,8,63,376500,2.3,18.1,94,53.3,4.8,96339,57633,2313.1
houston county,minnesota,18352,3.7,20.2,24.9,96,0.9,0.4,1,0,1.6,84.1,226300,2.3,3.5,94.4,28,4.6,77087,41820,34.1
hubbard county,minnesota,22050,4.4,19.7,28.2,93.6,0.6,2.8,0.5,0.1,2.9,82.6,255900,2.4,3,94.6,30.5,6.8,70622,38262,23.0
isanti county,minnesota,43687,5.6,22.7,18.3,93,1.4,0.9,2.2,0.1,3,83.8,283200,2.6,3.2,92.3,19.6,5.8,86573,40123,94.4
itasca county,minnesota,45442,4.7,19.7,26.8,92.5,0.6,3.6,0.4,0.1,1.7,81.9,212000,2.4,2.2,94.7,25.1,6.1,66380,36315,16.9
jackson county,minnesota,9861,4.7,20.6,24.9,94,1.3,0.7,2,0.2,5.6,81.3,145400,2.2,4.9,93.9,24.9,5.3,69955,39494,14.2
kanabec county,minnesota,16608,4.9,20.9,23.1,94.8,0.7,1.1,0.9,0.1,2,83.8,221100,2.5,2.8,91.2,15.8,6.4,71915,35290,30.7
kandiyohi county,minnesota,44674,6.6,24.4,21.1,89.7,6.5,0.6,1.6,0.1,16.3,72.1,230500,2.4,13.7,90.8,27.1,8.6,75097,37618,54.8
kittson county,minnesota,3992,5,22,26.4,95.1,1,0.7,0.8,0,3.2,82.4,134400,2.2,5.1,95.9,28,4.1,69615,37697,3.8
koochiching county,minnesota,11594,4.4,17.4,29.5,93.3,0.9,2.8,0.7,0,1.7,82,143700,2,2.3,93.5,20.3,5.7,69115,40221,3.9
lac qui parle county,minnesota,6636,5.8,21.7,28.7,95.6,0.8,0.7,1,0.3,4.2,83,143400,2.3,3.5,95.2,22.1,5.6,71639,40282,8.8
lake county,minnesota,10698,4,18.4,29.5,95.9,0.6,0.9,0.6,0,1.7,84,222900,2.1,1.4,93.2,25.8,6,75621,40666,5.2
lake of the woods county,minnesota,3797,5.2,18.6,28.5,93.2,0.9,1.4,1.7,0,2,84.3,215000,2.3,1.9,96.1,21.4,5.7,70091,39814,2.9
le sueur county,minnesota,29458,5.3,22.5,19.7,95.8,1.1,0.6,0.8,0.1,7.4,81,287700,2.5,6.2,95,25.4,5.4,90218,43236,63.9
lincoln county,minnesota,5564,4.9,22.4,25.5,96.6,0.4,0.6,0.8,0.1,3.1,82.1,152200,2.2,2.2,94.3,24.4,5.9,67715,38390,10.5
lyon county,minnesota,25577,6.3,25.9,18.7,88.3,3.4,1.1,5.5,0.1,9,70.5,193100,2.5,10.2,91.9,28.6,6.2,72761,37201,35.4
mahnomen county,minnesota,5296,7.6,31.1,18.6,46.6,0.6,42.3,0.1,0.1,4.6,72.5,146500,2.8,10.6,86.7,14.3,7.6,53925,25533,9.7
marshall county,minnesota,8771,5,22.7,24.5,96.1,0.7,1,0.6,0.1,5.1,85.2,153300,2.4,4.3,92.8,18.9,5.7,71701,36889,5.1
martin county,minnesota,19561,5.7,22.9,25.5,95.4,1.1,0.7,0.9,0.4,8,72.4,158800,2.2,5.7,94.7,23.8,5.4,62969,37466,28.1
mcleod county,minnesota,36780,5.4,21.3,21,95.9,1.1,0.7,0.9,0.1,8.2,77.8,233400,2.4,5.9,93.5,19.6,5.1,78468,41336,74.8
meeker county,minnesota,23491,5.4,23.2,22.3,96.7,0.8,0.5,0.6,0.1,5,81,228900,2.5,2.6,93.7,20.4,5.6,75037,37014,38.5
mille lacs county,minnesota,27577,5.4,22.7,19.2,90.4,0.8,5.4,0.8,0.1,2.7,77.7,237500,2.5,3.6,91.3,17.6,6.7,71455,35500,46.2
morrison county,minnesota,34520,5.3,22.5,22.6,96.8,0.8,0.4,0.5,0.1,2.1,80.9,237000,2.4,2.4,92.8,19,5.9,68640,36378,30.2
mower county,minnesota,40900,6.2,25.2,18.5,83.8,4.3,1.5,7.1,1,14.8,76,172000,2.5,18.7,89.7,23.5,8.5,71495,35609,56.3
murray county,minnesota,8044,4.6,21.1,28,94.7,0.7,0.7,1.9,0.3,5.7,81.8,179400,2.2,6.5,90.9,23.9,6.6,74475,40277,11.6
nicollet county,minnesota,34493,4.7,20.8,18.6,90.8,4.9,0.7,1.7,0.1,5.6,72.3,258500,2.4,6.6,95,35.7,4.5,80362,43268,76.8
nobles county,minnesota,21969,8.3,29.5,17.4,83.9,4.4,2.6,6.9,0.6,37,71.9,179200,2.8,35,77.8,17.7,10.3,65509,30310,31.2
norman county,minnesota,6284,5.1,22.9,21.9,91.6,0.9,3,0.8,0,6.4,81.6,135700,2.3,4.1,93.4,20.9,6.1,69833,37681,7.4
olmsted county,minnesota,166424,6,23.3,17.7,80.8,8.6,0.5,7.1,0.1,6.3,70.7,304500,2.4,14.8,95,48.5,3.9,93494,52059,249.2
otter tail county,minnesota,60884,5.2,21.6,26.6,95,1.8,0.9,0.6,0.1,4.4,79.2,252500,2.3,4.3,94,27.4,6.3,70912,38723,30.5
pennington county,minnesota,13652,5.3,22.1,20.3,92.5,1.3,2.3,1.3,0,5.3,71.3,188900,2.2,5.9,94.6,19.3,4.4,72561,39863,22.7
pine county,minnesota,30319,4.5,18.5,23.6,90.2,2.5,3.3,1.2,0,3.2,82.7,225600,2.4,3.1,91.4,16.3,6.4,69666,34104,20.5
pipestone county,minnesota,9100,6.4,26.9,21.2,91.7,1.8,2.7,1.4,0,9.2,81.5,126700,2.3,5.4,92.6,21.6,6.5,66073,36551,20.3
polk county,minnesota,30413,5.3,24.1,19.7,90.9,3,2.2,1,0.1,7.3,72.1,211100,2.4,6.3,93.2,28.1,4.9,69136,36332,15.8
pope county,minnesota,11495,5.4,21.9,26.2,96.3,0.7,0.6,0.8,0,2.3,82.7,242800,2.2,3.1,94.9,23.8,4.6,72205,40027,16.9
ramsey county,minnesota,542015,6,22.6,16.5,64.5,14.1,1.1,16.2,0.1,8.7,61,304900,2.4,23.2,91.5,45.5,6.1,81004,45193,3628.0
red lake county,minnesota,3882,6,23.6,24.1,93.8,1.1,2.3,0.5,0.1,4,83.8,157200,2.4,2.7,95.4,17.6,4.3,77500,36616,9.1
redwood county,minnesota,15254,6.2,24.4,22.9,87.8,1.2,5.2,3,0.1,4.7,79.7,150400,2.4,5.3,92.6,20.8,5.7,67024,33771,17.6
renville county,minnesota,14453,6.2,23.3,22.9,94.1,1.1,1.9,0.9,0,11.1,79.4,151900,2.4,6.8,91.5,18.4,6.9,69086,36131,15.0
rice county,minnesota,69025,5.4,21,17.2,86.6,8,0.8,2.3,0.2,10.8,75.9,298500,2.5,13.7,93,29.7,6.2,82792,38276,135.3
rock county,minnesota,9525,4.6,22.5,21.5,94.6,1.2,1.1,0.9,0.2,4.6,76,201600,2.4,3.7,93.3,26.3,4.9,70698,38201,20.1
roseau county,minnesota,15265,5.6,23.5,20.5,91.8,1.1,2.2,2.6,0,2.6,80.8,177100,2.5,4.2,93,20.5,5.6,73611,36987,9.2
st. louis county,minnesota,200794,4.5,18.1,22.4,91.8,1.6,2.4,1.2,0.1,2.1,71.2,221400,2.2,3.2,95.1,33.6,5,70069,41302,32.0
scott county,minnesota,157206,5.7,24.8,13.7,81,7.9,1.2,7,0.1,6.9,84.3,393500,2.8,13.3,95,43.1,4,120247,53499,423.6
sherburne county,minnesota,103059,6.1,25.2,13.4,89.4,5.5,0.7,1.9,0.1,3.7,84.2,332700,2.8,5.2,94.4,28.1,4.5,102965,44241,224.5
sibley county,minnesota,15194,5.9,22.3,20.6,95.2,1.2,0.6,1,0.1,10,81.3,215000,2.5,7.8,92.5,18.6,5.5,76082,38862,25.2
stearns county,minnesota,163997,6.3,23.6,16.8,83.3,11.3,0.7,2.4,0.1,5.3,67.8,256500,2.5,11.2,92.8,28.6,5.9,76447,37806,117.9
steele county,minnesota,37434,5.7,23.6,20.1,92.5,4,0.8,1,0.1,9.3,79.9,234200,2.5,7,93.7,29.7,5.1,83448,41392,87.1
stevens county,minnesota,9819,6.5,22.7,18,91.4,1.8,2.3,1.9,0.1,13.5,66.7,180800,2.4,11.4,93.2,30.8,5.7,71060,40441,17.2
swift county,minnesota,9666,5.9,22.7,24.6,92.9,1.4,0.8,0.9,1.4,7.6,74.3,147100,2.3,6.1,94.5,23,7.4,62601,36519,13.3
todd county,minnesota,25955,6.5,25,24,94.8,1.5,1,0.5,0.3,10.9,83.1,188400,2.5,12.8,88.9,15.2,9.4,63039,32283,26.7
traverse county,minnesota,3134,5.9,22,26.5,89.3,0.9,6.5,0.7,0.1,7,79.8,110100,2.3,7.1,94.7,17.5,5.3,65931,38451,5.9
wabasha county,minnesota,21574,5.2,21.5,24.8,96.5,0.8,0.4,0.8,0.1,3.7,81.6,245800,2.3,3.8,94.9,26.6,5,80133,42262,40.9
wadena county,minnesota,14437,6.9,26.6,20.1,94.9,1.2,0.9,0.5,0,2.8,72.5,170500,2.3,3,91.4,17.5,6,56882,30037,26.2
waseca county,minnesota,18684,5.1,21.9,20.2,94,2.3,0.8,1,0.1,8,79.3,213200,2.4,7,92.9,20.9,5.6,75052,37199,44.8
washington county,minnesota,283960,5.5,23.5,17.7,81.2,6.5,0.6,8.7,0.1,5.7,81.2,400900,2.6,11.8,96.3,48.9,3.3,114457,56650,695.5
watonwan county,minnesota,11204,8.3,27.2,21,92.2,1.3,3.6,1.4,0.2,32.5,78.2,151600,2.6,23.4,88.4,18.2,9.1,70593,35659,25.9
wilkin county,minnesota,6268,4.9,22.5,21.3,93.5,1.1,2.2,0.6,0,4.8,79.7,172300,2.3,2.8,93.4,21.5,4.6,69635,36057,8.7
winona county,minnesota,49973,4,16.9,19.8,92.6,2.4,0.5,2.8,0,4,68.8,222900,2.3,4.9,93.9,32.1,5.5,70198,37447,79.3
wright county,minnesota,154593,6.6,26.6,14.6,91.6,3.4,0.5,2.2,0.1,3.9,84.3,332800,2.7,5.5,94.9,34,3.9,106666,44946,213.8
yellow medicine county,minnesota,9373,5.8,23,23.2,91.2,1.5,4.2,0.7,0.1,6,84.2,148200,2.3,4.5,92.5,19,5.6,71573,38668,12.6
wexford county,michigan,"34,460",5.4,22.2,21.8,95.2,0.9,0.8,0.7,0.1,3.1,80.9,170400,2.45,3.4,90,21.3,6,61085,31949,59.6
wayne county,michigan,"1,771,063",6,23.3,17.4,54.7,37.5,0.5,4.1,0,7.2,64.8,178500,2.5,16.4,88,27.6,6.3,60539,34906,2931.4
washtenaw county,michigan,"373,875",4.4,17.8,16.7,72.6,12.1,0.4,10.9,0.1,6.1,61.6,374100,2.33,15.7,96,58.7,4.2,89180,52714,527.3
van buren county,michigan,"76,129",5.4,22.5,21,91.2,3.7,1.2,0.9,0.1,13.1,80.6,206500,2.44,10.1,89.6,23,7.5,68114,35009,124.4
tuscola county,michigan,"52,757",4.8,19.6,23,96,1.3,0.8,0.4,0,4.1,86.4,149500,2.43,2.2,92.6,16.3,5.1,63811,32616,66.3
st. louis city,michigan,"7,465",3,10.8,11.7,61.7,28.8,0.6,0.1,0,8.4,67.3,119200,2.31,6,86.1,6.4,7.3,51167,13897,2114.6
st. joseph county,michigan,"7,930",3.1,12.2,23.6,84.9,4.5,0.4,1.7,0,5.2,58,299000,1.8,6.9,97.7,55.3,5.8,84057,59175,2452.7
st. clair county,michigan,"5,824",2.3,23.7,20.2,92.6,3.7,0,0,0,1.7,68.1,223200,2.32,0.9,94.8,27.4,8.8,69688,40183,1858.5
shiawassee county,michigan,"67,982",5.1,20.3,20.9,96.2,0.8,0.6,0.6,0.1,3.5,80.1,171600,2.39,2,92.7,20,5.3,67404,35522,128.2
schoolcraft county,michigan,"8,178",3.9,17.2,30.8,85.4,0.7,9.5,0.5,0,1.9,86.6,141800,2.05,3.1,91.5,21.1,6.5,56782,37006,6.9
sanilac county,michigan,"40,293",4.9,20.4,24.6,96.7,0.7,0.7,0.5,0,4.4,82.6,168300,2.28,4.8,90.6,16.5,8,58863,33584,42.2
saginaw county,michigan,"187,714",5.2,20.9,21.2,75.8,19.1,0.6,1.3,0.1,9.4,74.1,152800,2.34,4.6,91.6,24.4,5.3,60622,34578,237.4
roscommon county,michigan,"23,932",3.4,14.1,35.8,95.8,0.7,1,0.7,0,2.2,85.4,158700,2.03,1.4,91.8,20.2,5.8,55246,38044,45.1
presque isle county,michigan,"13,230",3.5,15.3,35.3,96,0.7,1.1,0.6,0,1.9,88.7,151300,1.96,4.1,92.4,21.4,6.7,59321,38038,19.7
ottawa county,michigan,"306,235",5.2,22.2,17.6,91.7,2.3,0.6,3.1,0.1,10.6,79.3,323400,2.61,8.1,94.4,38.9,4.3,90502,42799,525.6
otsego county,michigan,"26,083",4.9,20.4,22.9,94.9,0.8,1,0.9,0,2.3,77.2,219700,2.25,2.4,94.5,26.3,5.1,68183,38321,48.7
oscoda county,michigan,"8,596",4.7,19.4,30.9,95.6,0.9,1.2,0.5,0,2.2,87.2,125500,2.21,7.2,85.9,15.6,8.4,49515,27888,14.5
osceola county,michigan,"23,484",5.4,21.8,23,95.2,1.1,0.9,0.5,0.1,2.4,83.7,155400,2.44,4.3,90.2,16.6,7.1,58267,30791,40.4
ontonagon county,michigan,"5,824",2.5,12.2,38.9,94.3,0.7,2.1,0.9,0,2.1,87.1,111700,1.84,2.3,94.5,18.4,5.9,54398,34400,4.4
ogemaw county,michigan,"20,985",4.1,17.4,29,95.2,0.7,1,1.1,0,2.5,83.7,154900,2.2,2,90.7,17.2,7,54666,31408,36.9
oceana county,michigan,"27,014",5,20.5,23.9,95,1.3,1.4,0.4,0,15.8,84.5,190100,2.52,11.4,90.3,21.5,7.4,62417,33025,49.5
oakland county,michigan,"1,296,888",5,19.8,19.3,73.4,13.8,0.3,9.9,0,5.3,72.7,343600,2.39,16,95.1,51,4.3,97760,56696,1469.4
newaygo county,michigan,"51,504",5,21.4,21.7,94.8,1.4,1,0.5,0,6.6,86.5,186700,2.55,5.2,89.4,18.1,5.8,63304,31564,59.6
muskegon county,michigan,"177,428",5.4,21.8,19.4,81,13.6,0.9,0.7,0,6.7,78.1,198300,2.51,4,92.1,21.3,5.4,65024,32532,348.9
montmorency county,michigan,"9,828",3.8,15.4,34.1,96.1,0.6,1,0.5,0,2,87.9,158600,1.92,2.6,90.9,15.6,6.6,49756,31792,16.7
montcalm county,michigan,"69,314",5.1,20.2,18.6,92.2,4.6,0.7,0.5,0.1,5,83.1,185500,2.66,4.7,88.5,16,6.8,67344,30876,94.4
monroe county,michigan,"156,045",4.8,20.4,21,93.4,3.2,0.5,0.7,0,4.8,81.7,228900,2.45,3.5,91.9,23.3,4.5,77335,40470,281.8
missaukee county,michigan,"15,239",5.2,21.7,23.2,95.8,0.7,0.9,0.6,0,3.7,84.9,170400,2.54,3.4,91.1,18.8,7.9,66194,32706,26.7
midland county,michigan,"84,022",5,20.5,21.4,93.5,1.5,0.6,2.4,0.1,3.6,78.1,195400,2.36,3.9,95.5,36.6,4.1,77705,43622,161.4
menominee county,michigan,"23,050",3.5,16.5,28.5,93.3,1.1,3.2,0.5,0,2.8,80.7,151800,2.21,2.8,92.8,18.5,5.7,56435,34069,22.5
mecosta county,michigan,"41,947",4.8,18.7,21.5,92.7,2.7,0.9,0.9,0.1,3.3,76.9,178900,2.33,6.1,91.4,22.5,6.3,60951,29951,71.5
mason county,michigan,"29,093",4.1,18.7,27.5,94.5,1,1.1,1,0,5.2,78.3,219600,2.25,3.3,94.1,26.6,5.5,64748,37554,58.7
marquette county,michigan,"67,979",4.1,17,20.9,93.1,1.6,2.1,0.8,0.1,2.2,69.6,216500,2.23,2.6,95.7,36.8,4.8,65429,35200,36.5
manistee county,michigan,"25,519",3.7,16.3,29.2,91.4,3.4,2.4,0.5,0,3.8,85.8,182200,2.26,3.4,92.2,24.9,6.4,63516,36023,46.2
macomb county,michigan,"886,175",5.1,20.3,19.2,76.6,14.3,0.3,5.8,0,3.4,75,243900,2.43,15.6,90.8,27.7,5.5,77837,40619,1838.4
mackinac county,michigan,"11,144",3.8,14.9,30.5,72.8,6,15.4,0.9,0,2.7,77.9,174500,2.03,7.4,92.2,25,8.1,63909,37835,10.6
luce county,michigan,"6,328",3.4,15.5,23,76.8,13.4,5.8,0.3,0.1,2.3,82.6,112000,2.13,3.4,92.6,17.3,4.9,54893,27499,5.9
livingston county,michigan,"196,976",4.6,19.6,21.3,96,0.8,0.5,1.1,0.1,3.1,86.9,356800,2.55,3.5,96.4,40.2,3.4,103039,51721,343.0
lenawee county,michigan,"97,746",4.6,20.1,21.5,93.7,2.8,0.6,0.5,0.1,9.3,79.6,196800,2.41,4.8,91.4,22.7,5.8,70518,35068,132.6
leelanau county,michigan,"22,871",3.3,15,35.7,93.3,0.7,3.1,0.8,0.1,4.5,91.6,458400,2.32,4.3,97.1,51.8,5.1,99422,57553,64.2
lapeer county,michigan,"89,168",4.7,19.4,21.4,95.5,1.5,0.6,0.7,0,5.2,86,239000,2.5,4.2,92.3,20.4,6.1,77306,39062,137.0
lake county,michigan,"13,005",3.4,14.6,27.8,84.1,10.3,1.3,0.3,0,8.7,82,133900,2.36,4.6,85.7,12.7,8.5,50805,28058,21.3
keweenaw county,michigan,"2,161",3.4,15.6,37.3,96.9,0.3,0.3,0.2,0,1.8,90.7,169800,1.87,3,96.1,41.2,3.8,52583,45090,3.8
kent county,michigan,"673,002",6,23,15.7,80.8,11.2,0.7,3.8,0.1,11.9,70.3,289900,2.54,13.1,92.3,40.8,5.8,82631,42992,775.1
kalkaska county,michigan,"18,618",4.8,19.7,22.6,94.9,0.9,1.1,0.7,0.1,2.4,88.2,188900,2.32,2.7,90.5,19,6.9,68578,34934,32.0
kalamazoo county,michigan,"264,780",5.1,20.8,16.8,80.1,11.9,0.5,3.3,0.1,6.1,64.5,241800,2.38,7.9,94.7,41.3,5,72532,41530,465.6
jackson county,michigan,"160,233",5.1,20.4,20.2,87.1,8,0.5,1,0.1,4.3,75,193700,2.41,3.5,92.4,23.4,4.8,66073,35930,228.5
isabella county,michigan,"65,072",4.6,17.7,14.8,87.4,3.1,4.1,1.9,0.1,5.5,61.8,170400,2.38,6.5,91.9,31.3,6.4,55237,30707,112.4
iron county,michigan,"11,709",3.5,17,32.7,94.9,0.7,1.7,0.5,0,2.8,84.5,109100,2.05,3.4,94.7,22.5,5.9,55940,34784,10.0
iosco county,michigan,"25,361",3.9,17,32.2,94.7,1,1,1,0.1,3.1,82.1,142200,2.14,3,90.2,19.3,5.9,50066,32108,46.0
ionia county,michigan,"66,250",4.8,20.3,16.9,91,5.7,0.7,0.5,0,5.6,77.3,198500,2.71,2.5,91,18.5,5.5,75611,33289,116.9
ingham county,michigan,"290,427",5.1,19.3,15.3,74.1,12.7,0.6,7.7,0.1,8.8,59.5,198800,2.27,13.4,93.7,41.2,5.4,65526,37723,512.3
huron county,michigan,"30,780",4.4,18.6,28.5,96.8,0.7,0.6,0.8,0,3.2,81.8,154300,2.16,3.3,92.5,18.5,6.1,58870,35271,37.6
houghton county,michigan,"38,041",5,19.5,18.3,93.2,1.2,0.8,3.2,0,1.9,71.8,159900,2.33,6.5,94.5,37.2,6.5,58899,31893,37.0
hillsdale county,michigan,"45,590",5.2,21.3,22.5,96.3,0.8,0.6,0.5,0,2.9,82,176100,2.47,3.4,91.1,21.2,6.6,64242,32981,76.5
gratiot county,michigan,"41,372",4.7,19.2,18.1,90.3,6.5,0.9,0.6,0.1,7.7,78.9,147500,2.4,4.1,91.7,18.7,4.7,63556,30221,73.5
grand traverse county,michigan,"96,625",4.6,18.9,23.5,94.6,0.9,1.2,1,0.1,3.5,77.2,339400,2.34,2.4,95.7,40.6,5.1,81647,45034,205.1
gogebic county,michigan,"14,217",3.6,16.2,30.4,92.8,0.9,3.5,0.4,0.1,2.3,81,107200,2,2.9,96,22.8,5.5,52732,36519,13.0
gladwin county,michigan,"25,995",4.7,18.8,28.6,96.9,0.6,0.7,0.5,0,2.5,86.1,162300,2.26,3.8,89.1,16.9,7.4,55349,32710,50.6
genesee county,michigan,"402,279",5.4,21.8,19.8,74.6,20.2,0.6,1.3,0,4.5,70.7,182400,2.38,3.9,91.6,23.3,5.9,62281,35334,637.8
emmet county,michigan,"33,949",3.7,17.4,26.6,92.4,0.9,3.6,0.7,0.2,2.2,77,315700,2.22,3.1,96.3,41.6,5.3,78112,48447,73.0
eaton county,michigan,"109,494",4.9,20.2,21.2,85.9,7.7,0.6,2.7,0.1,6.6,74.2,216900,2.36,6.5,94.2,30.8,4.5,79597,41090,189.8
dickinson county,michigan,"25,995",4.5,19.4,25.7,95.1,0.6,1.1,1.1,0.1,2.3,82.4,153300,2.15,3,96.4,25.3,4,65156,36594,34.1
delta county,michigan,"36,687",4.1,18.4,27.5,92.9,0.5,2.9,0.6,0,1.6,82,157100,2.26,1.5,92.9,20.6,5.6,57809,36649,31.5
crawford county,michigan,"13,599",4.3,17.6,28.5,95.3,1,0.9,0.9,0.1,2.6,79.6,163000,2.12,1.6,91.3,20.3,6,60392,31873,23.3
clinton county,michigan,"80,050",4.7,20.7,20.1,92.6,2.2,0.6,2.1,0.1,5.4,82.2,259500,2.49,4.5,95.3,35.4,3.6,88210,45810,139.7
