county,state,youth_share,elderly_share,owneroccupied_units,medianval_ownerunits,pper_household,language_otherenglish,education_bachelorsorhigher,without_insuranceunder65,income_percapita,population_density,disability_prevalence,dependency_ratio,minority_share,hispanic_share,cluster
bedford county,tennessee,25,15.1,71.9,281200,2.64,14.1,17.2,13.6,32163,106.1,15.2,40.1,14.2,16.9,Medium Risk: Older White Homeowner Communities
anderson county,tennessee,21,20.3,71.7,239400,2.38,5,27.5,9,37400,228.7,20.1,41.3,9.2,4.6,Medium Risk: Older White Homeowner Communities
aurora county,south dakota,25.1,20.6,76.4,129000,2.4,6.2,18.7,12.2,43275,3.9,12.8,45.7,6.9,8.5,Medium Risk: Older White Homeowner Communities
beadle county,south dakota,28.6,18.4,70.2,178400,2.5,18,26.4,13.1,31506,15.2,13.3,47,19.9,15.9,Medium Risk: Older White Homeowner Communities
bennett county,south dakota,30.6,14.4,57.7,138600,3.2,11.7,20.3,13,21005,2.9,9.6,45,67.7,3.7,High Risk: Rural Minority Communities
bon homme county,south dakota,19.5,21.7,78.4,120300,2.3,6.1,20.1,9.4,28003,12.4,13.7,41.2,11.9,2.6,Medium Risk: Older White Homeowner Communities
brookings county,south dakota,20.5,14.3,58.9,246300,2.4,8.1,44,8.5,34769,43.4,9.1,34.8,9.1,5,Low Risk: Educated Urban Communities
brown county,south dakota,23,19.3,65.7,212900,2.3,6.2,33.2,9.6,39599,22.4,12.1,42.3,11.5,5.2,Medium Risk: Older White Homeowner Communities
brule county,south dakota,24.2,22.7,72.5,205500,2.5,4,30.2,13.7,36063,6.4,16.5,46.9,17.1,2.6,Medium Risk: Older White Homeowner Communities
buffalo county,south dakota,35.8,10.8,52.6,108000,3.5,1.6,7,10.6,17408,4.1,15.7,46.6,84.3,2.7,High Risk: Rural Minority Communities
butte county,south dakota,24.3,21.7,80.5,207700,2.5,1.9,19.4,14.6,36097,4.6,13.3,46,7.3,4.3,Medium Risk: Older White Homeowner Communities
campbell county,south dakota,20,33.3,78.1,87900,2.1,5.7,29.5,10.1,42435,1.9,13,53.3,4.6,5,Medium Risk: Older White Homeowner Communities
charles mix county,south dakota,30.5,19.9,73.9,169200,3,6.8,25.1,13.4,29095,8.5,11.6,50.4,35.5,3.5,High Risk: Rural Minority Communities
clark county,south dakota,29.5,23.3,82.3,141900,2.8,7.4,16.2,12.4,34133,4,10.9,52.8,4.9,6.7,Medium Risk: Older White Homeowner Communities
clay county,south dakota,17.1,13,51.8,221800,2.3,5.6,46,12.2,29412,36.3,11.7,30.1,11.5,3.5,Low Risk: Educated Urban Communities
codington county,south dakota,22.4,20.8,67.4,218000,2.3,3.1,20.9,9.7,37308,41.2,11,43.2,7.2,4,Medium Risk: Older White Homeowner Communities
corson county,south dakota,35,13.6,60.5,73800,3.5,12.7,19.2,12.6,20743,1.6,15.2,48.6,68.8,1.9,High Risk: Rural Minority Communities
custer county,south dakota,14.1,35.6,85.6,327200,2.1,4.3,32.1,11.3,50278,5.3,19.6,49.7,7.9,3.5,Medium Risk: Older White Homeowner Communities
davison county,south dakota,22.8,21.5,63,190000,2.2,3.4,25,10.9,36524,45.8,14.8,44.3,8.6,5.6,Medium Risk: Older White Homeowner Communities
day county,south dakota,21.7,27.4,75.8,155100,2.3,2,21.3,12.5,37817,5.3,13.1,49.1,14.3,3,Medium Risk: Older White Homeowner Communities
deuel county,south dakota,24.7,22.7,80.6,180100,2.4,4.9,24.1,9.7,37556,6.9,12.5,47.4,3.6,3,Medium Risk: Older White Homeowner Communities
dewey county,south dakota,41,9.6,61.5,75400,3.1,7.8,17.3,13.1,21940,2.3,9.5,50.6,75.9,3.2,High Risk: Rural Minority Communities
douglas county,south dakota,27.4,25.1,77.7,125000,2.4,2.5,22.9,11.7,37172,6.6,11.2,52.5,6,3.9,Medium Risk: Older White Homeowner Communities
edmunds county,south dakota,22,25.1,80.9,163600,2.5,4.9,29.5,11.3,43546,3.5,11.3,47.1,3.4,2.2,Medium Risk: Older White Homeowner Communities
fall river county,south dakota,15.8,32.4,75.3,176300,2,3.4,22.2,12.6,36268,4,22.9,48.2,12.8,3.8,Medium Risk: Older White Homeowner Communities
faulk county,south dakota,27.4,22.5,81.9,124100,2.3,5.1,18.3,10.9,36556,2.2,12,49.9,2.5,2.7,Medium Risk: Older White Homeowner Communities
grant county,south dakota,22.7,24.9,81.6,179400,2.4,10.4,25.5,11.6,38497,11.1,14.9,47.6,5,8.7,Medium Risk: Older White Homeowner Communities
gregory county,south dakota,24.3,27.1,78.3,129000,2.4,1.5,20.9,14.7,32510,3.9,12.6,51.4,12.2,2.3,Medium Risk: Older White Homeowner Communities
haakon county,south dakota,24.2,29.6,82,153200,2.5,1.3,19.5,11.5,35643,1,12.5,53.8,7.2,1.4,Medium Risk: Older White Homeowner Communities
hamlin county,south dakota,33,14.8,81.5,207700,2.8,6.1,24.4,10.3,35757,12.2,7.4,47.8,4.1,6.9,Medium Risk: Older White Homeowner Communities
hand county,south dakota,23.2,25.7,64.2,152100,2.2,3.8,26.2,10.2,43377,2.2,13,48.9,3.4,2.5,Medium Risk: Older White Homeowner Communities
hanson county,south dakota,27.4,17.1,88.6,192400,3,5.8,21.5,10.5,36246,8,8,44.5,4.3,1.9,Medium Risk: Older White Homeowner Communities
harding county,south dakota,23,24.5,77.1,156400,2.1,3.4,30.4,11.6,48974,0.5,8.2,47.5,6.8,2.5,Medium Risk: Older White Homeowner Communities
hughes county,south dakota,23.8,19.2,75.2,221100,2.3,3.7,35.9,6.4,38880,24,12.4,43,18.1,3.8,Medium Risk: Older White Homeowner Communities
hutchinson county,south dakota,26.9,21.7,78.3,160500,2.4,5.8,25.7,9.1,38061,9.1,12.7,48.6,5.1,3.1,Medium Risk: Older White Homeowner Communities
hyde county,south dakota,23.6,24.8,82.2,134500,2.4,1,21.1,8.9,35789,1.5,11.9,48.4,16.4,1.6,Medium Risk: Older White Homeowner Communities
jackson county,south dakota,35.8,13.7,60.8,111500,3.7,6.5,11.4,15.2,17120,1.5,9.4,49.5,62.5,3.1,High Risk: Rural Minority Communities
jerauld county,south dakota,24.5,30.6,84.9,127000,2.2,4.2,21.1,8.8,47339,3.2,14.7,55.1,5.4,5.7,Medium Risk: Older White Homeowner Communities
jones county,south dakota,22.3,29.3,73.5,117100,2.9,4.7,25.3,8.3,29059,0.9,8,51.6,11.8,1.5,Medium Risk: Older White Homeowner Communities
kingsbury county,south dakota,25.2,23.4,81.4,159600,2.5,2.2,22.3,10.9,37976,6.2,11,48.6,4.8,3.2,Medium Risk: Older White Homeowner Communities
lake county,south dakota,20.5,26.3,71.4,231000,2.3,3.7,34.7,9.2,43820,19.6,14.8,46.8,6.6,5.6,Medium Risk: Older White Homeowner Communities
lawrence county,south dakota,15.9,25.7,63.9,310800,2.2,4.7,34.1,10.9,42663,32.2,17.3,41.6,7,4.3,Medium Risk: Older White Homeowner Communities
lincoln county,south dakota,25.1,15.6,72,323500,2.6,5.3,42.5,6.5,50843,112.9,8.6,40.7,7.8,3.7,Low Risk: Educated Urban Communities
lyman county,south dakota,27.4,18.9,72.2,156500,3.1,4.1,25.3,13.1,29144,2.3,15.6,46.3,42.6,1.5,High Risk: Rural Minority Communities
marshall county,south dakota,25.3,23.6,80.1,147200,2.6,4.6,22.4,12,42601,5.1,11.6,48.9,13.1,7,Medium Risk: Older White Homeowner Communities
mccook county,south dakota,28.8,19.5,81.8,217300,2.5,3.8,28.7,9.6,37131,9.9,11.9,48.3,4.8,3.7,Medium Risk: Older White Homeowner Communities
mcpherson county,south dakota,21.5,31.5,81,78400,2.3,16.6,22.4,11.7,40645,2.1,12.6,53,4,3.2,Medium Risk: Older White Homeowner Communities
meade county,south dakota,20.2,18.2,72.7,274800,2.5,3.5,26.9,9.7,36301,8.6,14.8,38.4,10.3,5.4,Medium Risk: Older White Homeowner Communities
mellette county,south dakota,30.5,15.9,59.9,63000,3.2,14.1,16.3,15.2,18423,1.5,12.1,46.4,61.7,1.5,High Risk: Rural Minority Communities
miner county,south dakota,22.9,25.1,82.3,114100,2.5,1.3,16.1,10.3,34056,4,19.2,48,5,2.9,Medium Risk: Older White Homeowner Communities
minnehaha county,south dakota,25,14.5,63.5,266600,2.4,10.2,34.6,8.8,41644,244.4,10.3,39.5,15.3,7.2,Low Risk: Educated Urban Communities
moody county,south dakota,26.6,20.4,70.9,206300,2.5,7.3,31,10.3,36544,12.2,13.6,47,20.3,6.9,Medium Risk: Older White Homeowner Communities
oglala lakota county,south dakota,35,8,53.5,45600,4.8,13.8,9.8,11.5,11650,6.5,9.9,43,91.8,3.9,High Risk: Rural Minority Communities
pennington county,south dakota,21.7,21,69.1,270400,2.4,3.7,34.1,10.6,40527,39.3,14.9,42.7,17.3,6.1,Medium Risk: Older White Homeowner Communities
perkins county,south dakota,23.1,27.8,78.9,105900,2.4,1.1,21.8,13.4,41539,1,13.8,50.9,5.4,2.3,Medium Risk: Older White Homeowner Communities
potter county,south dakota,21.6,29,78.8,121300,2.3,2.1,26.6,6.5,37661,2.9,10.5,50.6,7.2,2.8,Medium Risk: Older White Homeowner Communities
roberts county,south dakota,28.6,21.2,69.4,139100,2.7,3.1,18.3,12.8,31216,9.3,10.2,49.8,43.4,3,High Risk: Rural Minority Communities
sanborn county,south dakota,25.4,22.9,77.6,138500,2.5,3.5,19.2,12.4,34851,4.1,12.2,48.3,3.5,4.6,Medium Risk: Older White Homeowner Communities
spink county,south dakota,22.3,25.5,75.1,117400,2.5,5,27.1,10.5,37347,4.2,11.4,47.8,4.6,3.4,Medium Risk: Older White Homeowner Communities
stanley county,south dakota,21.5,23.7,79.3,169900,2.4,0.7,25.4,8.2,48110,2.1,15.4,45.2,10.3,1.5,Medium Risk: Older White Homeowner Communities
sully county,south dakota,19.3,29.4,76.1,198700,2.4,5.3,20.9,8.9,47550,1.4,9.8,48.7,8.5,3.1,Medium Risk: Older White Homeowner Communities
todd county,south dakota,40.1,8,44.9,45200,3.7,32.7,16.6,11.9,13849,6.7,10.3,48.1,91.9,2.8,High Risk: Rural Minority Communities
tripp county,south dakota,24.3,24.6,70.8,137100,2.4,4.2,19.9,15.7,31961,3.5,8.9,48.9,21.5,1.6,Medium Risk: Older White Homeowner Communities
turner county,south dakota,25.2,20.4,79,199000,2.4,3.8,26.2,11.2,36569,14.1,10.5,45.6,4.5,4.3,Medium Risk: Older White Homeowner Communities
union county,south dakota,23.6,20.1,71.3,269500,2.4,3.9,36.5,7.3,49563,36.5,12,43.7,6.7,5.5,Medium Risk: Older White Homeowner Communities
walworth county,south dakota,24.2,24.4,74.2,130000,2.1,2.9,31.1,11.6,37717,7.5,14,48.6,21.4,2.7,Medium Risk: Older White Homeowner Communities
yankton county,south dakota,20.7,23.2,72.3,208200,2.2,5.5,27.7,9.2,39880,44.7,14.2,43.9,8.1,6.6,Medium Risk: Older White Homeowner Communities
ziebach county,south dakota,25.8,12.5,53.9,101700,3.3,15.7,14.1,11.7,26500,1.2,9.8,38.3,73.3,2.2,High Risk: Rural Minority Communities
york county,south carolina,23.1,16.2,74.5,361300,2.55,8.8,39.3,8.9,45199,414.2,10.5,39.3,27.1,8.1,Low Risk: Educated Urban Communities
williamsburg county,south carolina,18.6,24,76.4,104500,2.33,2.5,17.4,12.7,25713,33.2,20.5,42.6,65.2,2.8,High Risk: Rural Minority Communities
union county,south carolina,20.2,22.6,71.3,103600,2.28,2.4,15,11.8,27229,53,20.8,42.8,33.6,2.4,High Risk: Rural Minority Communities
sumter county,south carolina,23.2,18.6,68.1,165300,2.48,6.1,23.5,9.7,30466,158.7,14.9,41.8,52.7,4.8,High Risk: Rural Minority Communities
spartanburg county,south carolina,23.1,16.5,73,233300,2.58,13.3,25.1,11.8,34071,405.7,15.3,39.6,25.9,10.2,Low Risk: Educated Urban Communities
saluda county,south carolina,22.3,21.3,78.7,146500,2.45,17.1,20.4,15.8,30409,41.7,16.6,43.6,28,18.3,High Risk: Rural Minority Communities
richland county,south carolina,21.1,14.9,60.3,242800,2.35,8.7,40.7,10.1,37859,549.5,14.1,36,55.9,6.7,Low Risk: Educated Urban Communities
pickens county,south carolina,18.3,18,70.9,231900,2.41,5.6,28.5,12.7,34724,264.4,15.7,36.3,11.9,5.8,Low Risk: Educated Urban Communities
orangeburg county,south carolina,21,21.7,67,115800,2.4,3.8,19.4,11.5,27036,76.1,14.2,42.7,64.5,3.1,High Risk: Rural Minority Communities
oconee county,south carolina,18.5,25.9,76.2,237100,2.31,5.1,28.7,12.8,39360,125.5,18.2,44.4,11.2,7.2,Medium Risk: Older White Homeowner Communities
newberry county,south carolina,21.1,21.1,73.1,173300,2.42,9.2,23.1,12.4,32295,59.8,16.5,42.2,32.5,9.9,High Risk: Rural Minority Communities
mccormick county,south carolina,9.9,42.3,87.9,168700,2.12,0.9,24,9.7,33965,26.5,17.3,52.2,38.3,2.1,Medium Risk: Older White Homeowner Communities
marlboro county,south carolina,19.6,20.4,63,82000,2.4,2.7,9,10.9,21486,55.6,18.6,40,59,3,High Risk: Rural Minority Communities
marion county,south carolina,21.6,22.8,62.6,93200,2.34,4,14.5,11.6,22884,59.6,17.1,44.4,58.9,3,High Risk: Rural Minority Communities
lexington county,south carolina,22.7,17.9,77.4,234500,2.48,9.5,34.1,9.5,39667,420.6,13.6,40.6,22.9,8.5,Low Risk: Educated Urban Communities
lee county,south carolina,19.5,22.3,70.5,104600,2.35,3.4,11.6,13.7,23949,40.3,17.1,41.8,65.1,2.6,High Risk: Rural Minority Communities
laurens county,south carolina,21.6,19.5,71.5,170600,2.46,5.7,17.6,13.1,28695,94.7,17.4,41.1,27.6,7.5,High Risk: Rural Minority Communities
lancaster county,south carolina,21.5,21.8,83.3,329900,2.56,9.5,33.6,10.5,43133,174.9,14.2,43.3,26.8,8.3,Low Risk: Educated Urban Communities
kershaw county,south carolina,23.1,19.3,82,217100,2.53,5.1,24,11.2,35560,90,16.3,42.4,30.4,6.6,High Risk: Rural Minority Communities
jasper county,south carolina,17.2,25.4,77.2,325500,2.36,18.1,26,15.7,33970,43.9,15.3,42.6,36,18.2,High Risk: Rural Minority Communities
horry county,south carolina,16.4,27.6,77.3,287700,2.37,8.9,27.1,12.9,38025,309.7,18.1,44,16.7,7.9,Medium Risk: Older White Homeowner Communities
hampton county,south carolina,20.3,20.3,73.4,112000,2.47,4.5,12.1,15.1,25277,33.1,22.2,40.6,55.2,4.6,High Risk: Rural Minority Communities
greenwood county,south carolina,21.8,20.3,67,180500,2.37,4.9,24.7,11.7,31408,152.2,11.1,42.1,35.4,7.6,High Risk: Rural Minority Communities
greenville county,south carolina,22.4,17.4,68.9,299000,2.43,12.6,41.3,11.5,43319,668.7,12.4,39.8,23.8,12.4,Low Risk: Educated Urban Communities
georgetown county,south carolina,16.2,32.3,84,289500,2.37,3,32.8,11.7,44163,77.9,16.1,48.5,30.4,3.9,Medium Risk: Older White Homeowner Communities
florence county,south carolina,23.2,18.7,64.5,177900,2.53,4.5,24.4,10.9,33071,171.2,13.3,41.9,48.5,3.6,High Risk: Rural Minority Communities
fairfield county,south carolina,17.7,25.8,74.6,151200,2.26,1.9,15.2,10.5,31810,30.5,18.1,43.5,57.6,2.9,High Risk: Rural Minority Communities
edgefield county,south carolina,15.9,20.4,80.1,202700,2.56,5,23.3,13.5,33147,51.2,15.3,36.3,36,8.8,High Risk: Rural Minority Communities
dorchester county,south carolina,23.6,16,75.5,329300,2.61,7.5,29.8,10.8,38870,284.1,13.7,39.6,32.5,7.8,Low Risk: Educated Urban Communities
dillon county,south carolina,24.9,18.3,64.7,85400,2.54,3.3,13.8,12.4,24278,69.8,16.5,43.2,53.3,3.9,High Risk: Rural Minority Communities
darlington county,south carolina,22.2,20.5,70.9,158200,2.4,3.3,19.9,11,31476,112.2,16.6,42.7,45.1,2.7,High Risk: Rural Minority Communities
colleton county,south carolina,22.6,21,73.3,162500,2.33,5.2,17.4,14.1,29122,36.5,19.3,43.6,39.4,5.7,High Risk: Rural Minority Communities
clarendon county,south carolina,17.5,26.3,72.9,158000,2.4,3.3,18.2,12.2,29295,51.3,18,43.8,47.4,3.7,High Risk: Rural Minority Communities
chesterfield county,south carolina,22.1,19.9,72.8,116200,2.45,5.5,13.6,12.3,29214,54.2,18.8,42,36.9,7,High Risk: Rural Minority Communities
chester county,south carolina,21.6,19.8,78.4,158300,2.43,2.2,14,12.1,28227,55.6,14.6,41.4,38.8,3.8,High Risk: Rural Minority Communities
cherokee county,south carolina,22.4,18.1,73.8,142000,2.52,5.3,18.4,11.7,27406,143.1,16.6,40.5,23.8,6.2,High Risk: Rural Minority Communities
charleston county,south carolina,19.1,18.7,63.9,489100,2.29,9,50.3,10,56921,444.7,10.9,37.8,27.6,7.5,Low Risk: Educated Urban Communities
calhoun county,south carolina,18.3,25.9,85,172100,2.26,3.7,24.5,10.7,34943,37,17.1,44.2,41.7,4.2,High Risk: Rural Minority Communities
berkeley county,south carolina,23,15.5,74.5,310300,2.59,10,31,9.8,40958,208.3,13.3,38.5,31.4,9.7,Low Risk: Educated Urban Communities
beaufort county,south carolina,16.9,29.6,75.9,455600,2.28,11.7,46,11.5,53951,324.8,13.7,46.5,20.4,12.6,Low Risk: Educated Urban Communities
barnwell county,south carolina,23.5,20.6,70.9,106000,2.48,3.3,13.9,12.9,28139,37.5,19.6,44.1,46.5,3.1,High Risk: Rural Minority Communities
bamberg county,south carolina,17.9,24.4,70.4,97800,2.61,1.9,17.9,13.9,23721,33.8,17.7,42.3,61.3,2.2,High Risk: Rural Minority Communities
anderson county,south carolina,22.2,18.9,74.8,231900,2.47,5,26.5,11.6,35910,285.4,15.5,41.1,19.9,5.6,Low Risk: Educated Urban Communities
allendale county,south carolina,17.4,23.5,61.7,76200,2.08,3.7,14.3,11.5,25038,19.7,26.5,40.9,74.5,3.2,High Risk: Rural Minority Communities
aiken county,south carolina,21.4,21.5,76.5,218000,2.45,6,31.9,10.9,38470,157.7,15.8,42.9,29.8,7.7,Low Risk: Educated Urban Communities
abbeville county,south carolina,19.2,23.8,78.1,178800,2.41,2.6,20.4,12.1,33559,49.5,13.2,43,28.1,2.6,Medium Risk: Older White Homeowner Communities
washington county,rhode island,14.8,25.1,77.5,510800,2.34,6.2,52.4,3.6,56069,394.3,10.7,39.9,7.5,4.1,Low Risk: Educated Urban Communities
providence county,rhode island,19.8,17,56.9,373600,2.46,32.6,32.3,6.2,41523,1613.6,14.2,36.8,24.4,27,Low Risk: Educated Urban Communities
newport county,rhode island,15.2,26.9,67.9,609700,2.19,9.7,54.1,4.1,61596,836.1,11.7,42.1,10.5,7.1,Low Risk: Educated Urban Communities
kent county,rhode island,17.5,21.6,73.1,366100,2.33,9.3,34.7,3.8,50854,1010.7,15.1,39.1,10.5,7.7,Low Risk: Educated Urban Communities
bristol county,rhode island,17,22.6,71.8,513800,2.33,12.8,53,3.3,61409,2104.8,11.6,39.6,7.1,4.4,Low Risk: Educated Urban Communities
york county,pennsylvania,21.6,19.6,76.3,248600,2.51,8.3,27.6,5.8,41601,504.7,14,41.2,13.8,10.6,Low Risk: Educated Urban Communities
wyoming county,pennsylvania,18.7,23.7,77.9,215400,2.31,2.4,22.1,5.8,40663,65.6,14.1,42.4,3.6,2.9,Medium Risk: Older White Homeowner Communities
westmoreland county,pennsylvania,17.9,25.5,78.4,203500,2.23,2.8,32.8,4.3,43509,345.1,15.1,43.4,6.4,1.8,Medium Risk: Older White Homeowner Communities
wayne county,pennsylvania,16.5,26.8,80.5,242100,2.3,5.9,23.4,7.2,35882,70.5,17.3,43.3,6.4,5.6,Medium Risk: Older White Homeowner Communities
washington county,pennsylvania,19.3,23.2,76.1,228500,2.31,3.6,32.9,5,45022,244.3,14.8,42.5,7.6,2.3,Low Risk: Educated Urban Communities
warren county,pennsylvania,19.5,26.1,79.5,127500,2.31,2.9,19.9,5.6,33371,43.6,15.8,45.6,3,1.5,Medium Risk: Older White Homeowner Communities
venango county,pennsylvania,18.9,26.4,75.3,119800,2.28,2,19.1,6.6,32994,74.8,17.9,45.3,3.7,1.5,Medium Risk: Older White Homeowner Communities
union county,pennsylvania,17.1,20.5,72.3,240100,2.3,11,26.5,9.4,37605,135.1,13.2,37.6,10.2,5.4,Medium Risk: Older White Homeowner Communities
tioga county,pennsylvania,19.5,24.5,77.4,181100,2.39,2.3,22.3,7.3,34365,36.2,18.4,44,3.1,1.8,Medium Risk: Older White Homeowner Communities
susquehanna county,pennsylvania,18.9,26.6,78.5,216400,2.44,2.7,19.5,7.2,39983,46.7,16.3,45.5,3.2,2.7,Medium Risk: Older White Homeowner Communities
sullivan county,pennsylvania,9.8,34.4,84.9,197100,2.18,3.4,21.5,7.9,40196,13,15.7,44.2,4.8,3,Medium Risk: Older White Homeowner Communities
somerset county,pennsylvania,17.9,25,80.4,150600,2.34,4.2,17.9,6.9,32808,69,16.6,42.9,4.7,1.7,Medium Risk: Older White Homeowner Communities
snyder county,pennsylvania,20.1,21.5,75.6,215300,2.5,8.7,20.6,9.7,32232,120.9,15.5,41.6,4.3,2.8,Medium Risk: Older White Homeowner Communities
schuylkill county,pennsylvania,19.8,21.5,76.1,153000,2.35,6.7,19.9,6.9,34954,183.7,17.9,41.3,8.4,9.9,Medium Risk: Older White Homeowner Communities
potter county,pennsylvania,19.2,27.3,79.7,153100,2.28,3.9,18.2,6.9,32778,15.2,17.8,46.5,3,1.8,Medium Risk: Older White Homeowner Communities
pike county,pennsylvania,16.9,25.6,87,272600,2.48,13.4,29.7,6.6,42753,107.4,16.3,42.5,12,13.2,Medium Risk: Older White Homeowner Communities
philadelphia county,pennsylvania,20.8,15.4,51.8,243100,2.26,24.4,35.4,8.1,38905,11936.9,17.4,36.2,55.6,16.4,Low Risk: Educated Urban Communities
perry county,pennsylvania,20.7,21.8,81.8,236400,2.5,6.3,20.2,8.2,39403,83.1,13.9,42.5,3.9,3.1,Medium Risk: Older White Homeowner Communities
northumberland county,pennsylvania,19.4,23.2,75.5,162400,2.29,4.4,19.4,6.7,33575,200.2,16.4,42.6,6.2,5.9,Medium Risk: Older White Homeowner Communities
northampton county,pennsylvania,18.6,21.2,71.1,308600,2.49,15,34.7,6.1,45736,846.3,12.2,39.8,15.5,16.6,Low Risk: Educated Urban Communities
montour county,pennsylvania,19.8,23,68.5,248100,2.2,7.6,38.7,4.7,46827,139.2,13.5,42.8,8.2,3.5,Low Risk: Educated Urban Communities
montgomery county,pennsylvania,20.9,19.8,71.4,436700,2.52,14.7,53,4.9,62159,1773.5,10.4,40.7,22.9,7.1,Low Risk: Educated Urban Communities
monroe county,pennsylvania,18.6,21,80.2,267600,2.69,16.8,27.4,7.4,38861,276.7,14.6,39.6,24.5,19,Low Risk: Educated Urban Communities
mifflin county,pennsylvania,22.3,22.6,71.1,156700,2.45,10,14.9,11.9,31620,112.3,15.2,44.9,3.3,2.4,Medium Risk: Older White Homeowner Communities
mercer county,pennsylvania,18.7,24.4,72.4,164000,2.21,4.1,25.6,7.7,34033,164.5,17.3,43.1,9.3,1.9,Medium Risk: Older White Homeowner Communities
mckean county,pennsylvania,18.8,21.9,78,104500,2.26,2.3,20.8,6.2,32651,41.3,19.6,40.7,5.6,2.3,Medium Risk: Older White Homeowner Communities
lycoming county,pennsylvania,20.1,21.7,69.1,202200,2.3,3.2,24.8,6.5,35479,92.9,17.1,41.8,9.3,2.6,Medium Risk: Older White Homeowner Communities
luzerne county,pennsylvania,20.3,20.5,67.8,174100,2.35,15.9,25.3,7.9,36493,366,16,40.8,14.2,20.2,Low Risk: Educated Urban Communities
lehigh county,pennsylvania,21.8,18.3,65.6,300400,2.56,26.2,34.2,7.3,43088,1084.6,13.1,40.1,21,30,Low Risk: Educated Urban Communities
lebanon county,pennsylvania,22.2,21.1,71.3,242000,2.47,12.9,24.3,8.6,39628,395.9,13.9,43.3,9.3,16.3,Low Risk: Educated Urban Communities
lawrence county,pennsylvania,19.7,24.4,75.8,147200,2.29,3.6,23.4,5.8,35150,240.8,17.5,44.1,8.1,2.5,Medium Risk: Older White Homeowner Communities
lancaster county,pennsylvania,22.8,20.5,69.8,301100,2.55,16.8,32.4,11,43128,585.8,11.8,43.3,11.9,12.1,Low Risk: Educated Urban Communities
lackawanna county,pennsylvania,20.3,21.2,65.4,201800,2.35,10.3,30.6,6.5,37168,470.3,16.2,41.5,12.4,11.2,Low Risk: Educated Urban Communities
juniata county,pennsylvania,21.8,22.1,73.8,217000,2.56,11,15,12.3,32932,60.1,12.7,43.9,3.9,4.7,Medium Risk: Older White Homeowner Communities
jefferson county,pennsylvania,20.9,23.5,74.9,139700,2.35,4.4,18.4,8.9,32564,68.2,15.2,44.4,2.5,1.1,Medium Risk: Older White Homeowner Communities
indiana county,pennsylvania,17.8,21.4,72.1,152800,2.39,5.6,27,8.4,31921,100.6,16.5,39.2,5.7,2,Medium Risk: Older White Homeowner Communities
huntingdon county,pennsylvania,17.5,23.3,79.2,183200,2.37,3,19.2,6.7,32744,50.4,16.9,40.8,8.5,2.2,Medium Risk: Older White Homeowner Communities
greene county,pennsylvania,18.4,22,77.1,153900,2.21,1.9,21.7,6.2,34537,62.4,18.9,40.4,6,1.8,Medium Risk: Older White Homeowner Communities
fulton county,pennsylvania,19.4,23.6,77.6,208500,2.28,0.9,17.7,6,37688,33.3,17.3,43,3.7,1.5,Medium Risk: Older White Homeowner Communities
franklin county,pennsylvania,21.6,20.9,73.5,249800,2.45,7.6,24.7,8.6,39977,201.9,15.9,42.5,9.2,8.2,Medium Risk: Older White Homeowner Communities
forest county,pennsylvania,3.7,26.5,78.3,115300,2.24,6.2,12.3,13,24303,16.3,23.2,30.2,27,5.4,High Risk: Rural Minority Communities
fayette county,pennsylvania,18.6,23.8,72.4,143200,2.2,2.4,19.1,5.9,32739,162.9,20.3,42.4,8.3,1.7,Medium Risk: Older White Homeowner Communities
erie county,pennsylvania,20.3,20.8,68.1,177000,2.31,6.9,30.3,5.8,35812,339.1,15.8,41.1,14,5.1,Low Risk: Educated Urban Communities
elk county,pennsylvania,18.8,25.4,79.5,133600,2.27,1.6,20.6,5.8,36391,37.5,16.7,44.2,2.4,1.1,Medium Risk: Older White Homeowner Communities
delaware county,pennsylvania,21.8,18.3,69.6,332200,2.56,13.5,41.9,5.6,49673,3138.1,12.1,40.1,34.4,5.5,Low Risk: Educated Urban Communities
dauphin county,pennsylvania,22,18.8,63.1,236400,2.33,14.8,34.4,7.5,42294,545.7,13.2,40.8,31.6,12.7,Low Risk: Educated Urban Communities
cumberland county,pennsylvania,20.3,19.6,71.3,277600,2.4,10.4,40,6.5,46149,475.7,12.8,39.9,16.5,5.6,Low Risk: Educated Urban Communities
crawford county,pennsylvania,20.3,23.8,74.7,153200,2.32,5.7,21.1,9.1,32743,82.9,17.1,44.1,4.7,1.8,Medium Risk: Older White Homeowner Communities
columbia county,pennsylvania,17.4,21,69.5,206200,2.33,3.1,26.6,6,33218,134,14.9,38.4,5.8,4.9,Medium Risk: Older White Homeowner Communities
clinton county,pennsylvania,19.8,20.9,72.3,175900,2.34,7.2,21.5,7.3,32043,42.2,17,40.7,4.1,2,Medium Risk: Older White Homeowner Communities
clearfield county,pennsylvania,17.8,22.7,78.5,137000,2.28,4.3,20.2,7.1,33324,70.3,19.5,40.5,4.9,3.4,Medium Risk: Older White Homeowner Communities
clarion county,pennsylvania,19,21.5,72.5,155700,2.36,3.3,23.6,6.6,32832,62,14.9,40.5,4,1.3,Medium Risk: Older White Homeowner Communities
chester county,pennsylvania,21.3,18.7,75.1,485600,2.6,13.8,57.1,4.9,64325,712,9.4,40,17.2,8.8,Low Risk: Educated Urban Communities
centre county,pennsylvania,14.4,16.9,61.8,323500,2.32,12.4,46.2,6.5,39316,142.7,10.7,31.3,13.8,3.9,Low Risk: Educated Urban Communities
