county,state,youth_share,elderly_share,owneroccupied_units,medianval_ownerunits,pper_household,language_otherenglish,education_bachelorsorhigher,without_insuranceunder65,income_percapita,population_density,disability_prevalence,dependency_ratio,minority_share,hispanic_share,cluster
webster county,georgia,15.6,27.3,77,82600,2.82,4,8.9,16.5,23991,11.2,15.4,42.9,44.1,6.6,High Risk: Rural Minority Communities
wayne county,georgia,24,16.2,67.3,162800,2.62,5.9,16.2,15.2,25788,47,17.5,40.2,25,6.7,High Risk: Rural Minority Communities
washington county,georgia,20.9,19,64.5,112500,2.46,2.7,16.9,13.1,25101,29.5,17.2,39.9,56.4,2.6,High Risk: Rural Minority Communities
warren county,georgia,21,23.9,72.2,67100,2.43,0.9,12.3,15,24522,18.3,17.4,44.9,59.1,1.9,High Risk: Rural Minority Communities
ware county,georgia,24.6,17.8,63.1,109500,2.59,5.1,14.4,14.5,23230,40.3,14.5,42.4,35.3,5.8,High Risk: Rural Minority Communities
walton county,georgia,23.5,16.6,79.3,339500,2.86,7.6,24.5,12.8,37047,295.8,14,40.1,27.8,7.7,Low Risk: Educated Urban Communities
walker county,georgia,20.8,20.4,77.2,197100,2.55,2.4,21.3,14.5,32130,151.6,19.6,41.2,8.6,3.2,Medium Risk: Older White Homeowner Communities
upson county,georgia,22.6,19,61,168700,2.61,2.6,15.5,13.5,31521,85.6,17.5,41.6,31.5,2.9,High Risk: Rural Minority Communities
union county,georgia,14.7,35.6,84.4,307400,2.24,3.4,26.9,15.9,41194,76.5,21,50.3,4.3,4.2,Medium Risk: Older White Homeowner Communities
twiggs county,georgia,18.7,25.1,88.2,111300,2.66,2.8,10.5,13.6,30439,22.3,22.5,43.8,43.6,2.5,High Risk: Rural Minority Communities
turner county,georgia,24.9,19.1,63.8,97300,2.62,5.1,9.8,15.9,23092,31.6,20,44,43.3,5.3,High Risk: Rural Minority Communities
troup county,georgia,24.3,16.5,60.6,217200,2.56,6.3,23.8,13.8,33649,167.7,17.3,40.8,42.5,5.3,High Risk: Rural Minority Communities
treutlen county,georgia,22.2,19.6,65.3,100100,2.63,1.8,11.9,14.9,29014,32.1,19.8,41.8,34.8,2.9,High Risk: Rural Minority Communities
towns county,georgia,13,38.7,82.3,316100,2.03,2.6,31,14.1,42549,75,19.6,51.7,3.9,3.3,Medium Risk: Older White Homeowner Communities
toombs county,georgia,26.2,16.8,60.5,137000,2.55,10.7,18.4,16.4,26501,74.3,16.3,43,31.1,13,High Risk: Rural Minority Communities
tift county,georgia,24.5,17,61,165200,2.52,12.5,21,16.9,29963,158.5,11.8,41.5,35.9,13.7,High Risk: Rural Minority Communities
thomas county,georgia,23.3,20,63.8,196700,2.42,5,22.7,12.5,33700,84.1,17.6,43.3,39.8,4.3,High Risk: Rural Minority Communities
terrell county,georgia,21.7,22.1,61.6,118400,2.53,3.2,13.1,15,26489,27.4,16.2,43.8,60.9,3.3,High Risk: Rural Minority Communities
telfair county,georgia,17.7,21.7,64.9,113300,2.87,12.7,10.1,15.5,20994,28.5,23.9,39.4,39.1,13.1,High Risk: Rural Minority Communities
